source,target,edge
only  yo,soy Thanks,are
We,single  room,had
I,value  place,was spacious
I,back  theis,go
free  they,historical  Cusco,took
nice  we,sweet goodbye present,got
which,such  restaurants,is close
It,bus Cusco,is near
you,hotel,arrived at
I,them,recommend
good  he,coca tea reception,had
place,Cusco,became
lowest  I,Cusco,gave
They,good  wifi,have
w  you,w  you,is
I,stay,ended
So  I,place,glad
Location,supermarket,is close
it,this,want
so  it,still  home,Close
group  who,group  guests,meet amazing
there  we,Mexico,travelling with
stay,as  mine,hope
in  you,already  home,feel at
noise,good  sleep,provides
very  it,10  center,gave
Loki we,morning  tour,picked
We,so ensuite room,was
However  building,path,removed from
we,elevation,was
We,a Arcopara House,spent
good  I,highly  accommodation,was good
they,little  fruit,hang
before  I,Arcopata Guest House,stumbled across
how price it,functioning  WiFi,figured
included party I,night,turns
I,so  price,was
more  you,someone,recommend
I,so  it,feel
separate  we,separate  tours,spoke perfect
5  we,tour,okay
cheap  lunch,place,was good
main  it,main  street,located in
Location,big  scanner,was
We,two  Cusco,stayed in
even  we,technically  it,arrived
It,only 10min armas,'s
high  we,high  guesthouse,had high
friendly  experience,friendly  people,was
you,far city centre,water in
Rooms,maybe  couples,are big
thus  it,extra  floor,is more
stay,helpful  sightseeing,are
again  it,20 city center,stay
so  it,own  appartment,was
nice  you,home,are
nice  Mario,good Cusco area,had
15 minute walk,you,is
way  we,residential  area,liked
mother,always  Cusco,wanted
necessary  her,amazing  experience,provided
old  who,adventurous  heart,is
how  she,8a Cusco Guest House,stopped
She,room,loved
I,delighted  mother,was amazed
old  man,airport,knew
bearings,Cusco week,stay
perfect night room,road side,is on
breakfast,usual  bread,is
truly  you,grandparents,feel
stay,everything,make
friends,highly Ochoa Guess everyone,made
We,nights Cusco total,stayed at
It,away  home,was like
Manu National we,it,leave
return,jungle,washed
very  they,joy,seem
husband,absolutely  stay,stayed with
we,house,welcomed into
room,private  bathroom,was huge
it,living areas,was great
we,four day trek,were delicious
little  it,cheap taxi ride,is
also  more,cusco,see more
i,Cusco,loved
me,so  stay,made
very  I,place,are
taxis,only  dime,is
here  it,back  2013,stayed
They,really  stay,made
nice  family,nice  attractions,are
8a  we,much  home,spent
we,help,was clean
very  it,guesthouse,are
They,laundry  service,provided
late  we,late  night,is
again  we,"back  Cusco!,“LA",CULTURA
Guest House sentimos muy que,nuestra anima,felices
COURTESY,FIRST  CULTURE,IS
well  who,growth,encourages
Armando Ochoa Oblitas,Cusco Guest House,8ª
Unfortunately  hotel,work,need
street,room,sounds
when  who,when  Carolina,is
review,me,stayed
Breakfast,egg,included with
It,quiet room options,'s
staff,English,walk to
friend,them,saved
We,budget constraints,supposed
surely  hell,floor,is
You,bone,scorched
it,money,be better
Felt,here  costs,depressed
expensive  accommodation,tight  budget,ias
beautiful  service,beautiful  Cusco,has
you,cars,hear
They,big del armes,have
other  money,other  which,is
really  who,quiet  place,recommend to
time  location,away Plaza Mayor,restaurants around
I,really  it,stayed
here  I,south america,is
staff,other  places,are
low  you,low  budget,is
You,great  price,receive
rooms,services,are fine
Also  you,tourist information,ask for
great  she,welcome  Cuzco,is
I,next  trip,recomend
We,warm  coincidence,came acrose
allways  we,allways  what,toke
fair kind We,fair  prices,want
We,early  Hostel,traveled
better  we,better  room,were
great  we,Booking,Considering
recommendable city noises,common  area,carry
why  they,along  reception,is
fancy  we,really  experience,expecting
basic  which,probably  problem,said
When  we,Toliet,was
seat,next  Toliet,broken
she,Employee,said
we,broken Toliet seat,agreed
then  that,room,changed
that,hostel,sure
very  we,everything,is
she,morning,objecting
only family you,serious  budget,stay
night San it,so  comfort,switched to
we,main  road,was
they,very  stay,were
homey  beds,homey  feel,is
You,hotel,go wrong
while  It,next  restaurants,is next
water temperature,constantly  it,changed
taps,while,wiped in
Floors,washing,needed
Heater,very smoke room,was
We,one  night,stayed
main  bedrooms,main  road,is on
I,carbon monoxide it,be worried
just  you,just  bedding,work
Food,restaurant breakfast room,inedible
rest,staff,was
on,Cusco,stayed in
-We,rather sleeping beds,elected
which,bed,were
food,restaurant,was terrible
hotel,same  money,are
8 day i,accomdation,Booked as
where  this,where  tour,of
maybe  smell,three  days,remained for
main  which,directly  square,seemed
worst  i,Peru,wifi of
i,50 tour accomadation,complianed to
where  they,me,dissapointed
little  shower,hot  water,is
best  part,hotel,is
hotel,main minute square,is on
I,clearly hall room,found
you,what,guess
main  you,even  night,walk
you,right  street,buy
We,Peru,stayed at
3  this,tour,was
It,better  area,was
rooms,std,was nice
you,7  floor,were noisy
it,different  rooms,had multiple
who,mobility issues,recommend
location,main  plaza,is
It,altitude,is
It,5 soles taxi plaza,is
homely it,art place,has
friendly group you,such dance classes,'s
facilities,cumfy  bed,are good
you,yourself,'s
unofficial Aldea which,local  Cusco,meet lovely
hostal which,social  project,staying at
hostal,amenities,is
Best  it,cosy  garden,feels like
differently  it,courtyard,think
I,winter,recommend
2013 Machu this,2013 Machu Picchu,went to
Wi Fi,basics,was excellent
me,Machu Picchu,helped
you,all  world,was small
we,bottled  water,went
hot  you,early  night,make sure
you,hostel,were cozy
me,small play computers,helped
Lovely  which,Lovely  courtyard,is great
much  thought,hostel,tell
back shower room,proper  door,Wish
soles  they,you,Stayed
I,hot  showers,is quiet
included  breakfast,good  day,works good
where  I,back  Cusco,is
i,toilet,were
I,here  friends,stayed
I,cusco,talked
wifi,available  use,works great
it,COLD,were comfortable
whole  that,whole  hostal,are
they,completly  it,was
so  they,toilets,pile
This,3 day stay,happened
distance solis cab you,it,is
front  desk,VERY  directions,is
a  that,a  week,support
breakfast,two  butter,is free
profits,school,stayed in
even  we,already  school,am disgusted
I´m  I,price,paid
best  I,owners,thought
hot water didn´t breakfast,hot water didn´t time,get
you,what,get
place,this,optimises
decorated  room,shared  bathrooms,get
pretty  you,clay pot room,get
they,early  til,love
booking,room,booked
that,that,found
you,few  pennies,stay
soooo  place,welcome  pocket,be
It,religious  people,is
I,him,advise
hostel,Dominican Noons,runned by
hot  staff,God,was helpful
I,it,recommend
this,budget,is excellent
rooms,hours,is
Peruvian self service windows,white  light,breakfast
hosel,Catholic back,affiliated with
cheaper  that,communal  hallway,believe
we,immediately coca tea,greeted by
beds,heavy  night,was clean
small  I,socks,get
different  we,different  times,required
available  they,front  guests,is
affordable La Quinta you,affordable La Quinta which,located less
Ask,next desk stairwell,is strongest
fresh Soles 105/$35 Cusco,very  evening,be
five  you,de  Armas,get to
very  staff,always  smile,are
low  this,low  budget,is
quiet  you,crazy  socializing,good
7  minutes,armas,walk from
everyday  things,best  Cusco,Incredible
they,rate,were willing
surprisingly  they,night,charge
so  we,that,did
I,decent San Juan Masias,had
place,close  town,is clean
wifi,anywhere  building,work in
that,certain  day,staying in
you,often  times,give
you,them,make
own  we,cooler,scolded like little
We,6  place,stayed
It,when school room,was
place,wooden  floors,was immaculate
when  we,Machu Picchu,were able
3  we,2  people,were in
breakfast,2 orange bread,included
we,school 7,awakened by
that,us,was fine
signal,rooms,were
they,us,was in
staf,trail,is
rooms,good  showers,are big
so  hotspots,major  plaza,is
Inca fits,holidays,contains
We,real  hotel,arrived at
all  boutique,many  things,encompasses
necessary  one,short  stay,greeted
when  we,them,found
me,home  me,were kind
staff,there  time,left
You,de  Armas,are
hotel,great  location,is in
It,other grocery squares,is
We,main  city,were able
there  I,five inca trail hike,ended
place,main  Cuzco,was adorable
breakfast,different  jams,was delightful
we,night  Renacimiento,stayed
place,welcoming courtyard apartments,is adorable
you,extended kitchen type stuff,brought to
definitely  we,place,stayed at
really  who,place,'s
Location,very town night,is great
when house I,AMAZING  money,wanted
room,overhead  skylights,was spacious
very  Dunkel,house,enjoyed
girlfriend,7  days,stayed
nice  we,nice  hostels,are
overnight  we,night,let
we,Machu Picchu,let
5  minute,main  square,walk
quite  they,blankets,are
above  building,squeaky  floorboards,is
5  ants,meal,appears
I,May,stayed at
much  it,much  charm,has
One  you,winter season beware,is
big  it,still  bit,supply
I,spacious  kitchenette,stayed as
HOT  which,always  Cusco,have HOT
hotel,other hacienda guests,is
wonderful  that,hotel,are
I,so  them,was
We,then  nights,used
I,there  time,stay
really  having,kitchen,are
really  this,year,gets
We,before Machu Picchu,stayed
where  we,own  food,was
Vegan  oil,Peru,is hard
kitchen,double  needs,was
we,dishes,supplies
little  those,street,are
Hot  water,specially  room,was unlimited
building,funny tree trunk roof,is old
internal  which,internal  veranda,is nice
We,before Machu Picchu,stayed
It,square  family,located
lots,apt  accommodation,were
English  you,Peru,were
Renacimiento,typical  hotel,was
Tienen una terraza,perfecta parte para,que
Cafe Viamonte,favorite Salkantay trek,was
above  we,great  stay,are
so  we,so  blankets,were
showers,good water pressure,were hot
Dinner,beautiful  patio,were amazing
it,right  trail,is excellent
which,long suspension river,did
They,hot  springs,arrange
home  bottles,2  bottles,was
too  we,beans,did
small credit which,small credit fee,accept
here  we,absolutely  it,loved
Rooms,very  room,are
Trato,limpio y,excelente
whole  this,best  far,was
we,open  arms,felt like
here families coffee they,here families coffee farm,ask about
authentic  you,Peru,be
We,hot  springs,arrived
place,great  views,is clean
well  which,also  English,speak
Apparently  they,coffee guests,have
more  quality,price,is
mi gran satisfacción,Viamonte,durante
La,me,familia
hostel,whole Salkantay trek,was
so  place,nice  terrace,is
very  I,everyone,recommend
Nous  avons,durant notre trek,séjourné une
Même possibilité,un pique d’avoir un emporté,nique
hostal,comfortable  breakfast,clean big
then  everyone,english,disappears
you,bread,get
rubbish bin,it,were
So  you,always  everything,have
last  they,dayly  basis,wanted
we,day,check
They,how VISA card,know
they,same  price,had
We,private  bathroom,booked
Overall  manager,front  desk,was nice
He,broken  us,spoke
he,tea,was sick
I,doctor,said
However  I,just  bed,stayed in
on  which,really  him,came
Cusco Mountain they,hostel,booked
late  they,them,called
Water,hostel,priced
We,common  area,had
common  you,everything,see
That,whole  stay,was
you,common  area,try
common  you,common  area,was
breakfast,top  floor,given
they,eggs,showed
main  which,main  walking,was
3 person that,private barn door,beds
size,curtain,was nice
too  it,fine  needs,was
when  they,room,provided
heavy  which,heavy  bed,get chilly
when  we,MP,stored
you,bag,put
when  we,us,were secure
we,common  night,meet
nice  this,nice  hotel,was
this,square,is
shared  one-,toilet,went
Me,three  Cusco,stayed in
prior  she,volunteering,paid for
you,3 jet lag,is
overly  I,overly  which,was
shower  drainage,use,settle in
so  we,room,paid for
it,reservation,said
I,bed,checked
I,more,day
else  I,reservation,refused
when  friend,three  nights,solved
it,hostel,confirmed
I,one,says to
scared  manager,more  jug,was pale
three  we,three  nights,stayed in
when  we,private  room,says
again  we,again  that,charge
this,absolutely  me,refused
It,just  hostel,is
I,night  room,stayed
time  someone,frosted glass hallway,see
so  I,brown  banana,got
Location,walking city center,was fine
Dear us,hostel,let
Continental season we,day Wanchaq Market,are
We,next  guests,taking
room door,glass window,has
through  it,hallway,brings
large  which,noice,placed
One night we,hot  water,use
Also  I,amazing tourist time,booked
de  atmosphere,good  bar,is
all  room,all  hostal,was
4  it,4  nights,stayed
well travel visit,Cusco,’re glad
best hostel I,ever  Peru,experience
I,good  place,spent
We,PIRWA TRAVEL,did
it,Peru,'s
Everything,hostel,was incredible
very  need,very  back,are
DEFINITELY,wonderful  comments,are
We,you,wish
Best  I,Best  that,hostell
you,stay,make sure
They Pirwa Travel,Peru,organized
such game which,such game room,does
you,wonderful  trip,'re glad
staff,Peru,is
WiFi,bar,works
It,de  Armas,is near
They,comfortable  rooms,have comfortable
They PIRWA TRAVEL,phenomenal  Peru,did
So  it,best  Cusco,is
Steffi  We,Pirwa Garcilaso,miss
so  you,travel services,'re glad
big  some,back  garden,are big
common  bathrooms,hot  pressure,have
They,common  room,offer
guests,everything,relax in
FamDreams,des  Armas,located
where  you,sunshine,has
I,highly  hospitality,recomend
We,really  ourselves,stayed
great  you,spacious  room,is
almost  tailor,quiet non party hostel,are
2  it,2  weeks,stayed
regular  you,it,get
That,me,'s
that,English,assisted
place,main minute squre,located
so  he,really  us,was
We,two day trip,left
when  we,clean  it,came
shower,rare  Peru,was nice
8 day we,thoroughly  stay,stayed at
Julio,us,was fantastic
us,back  us,left
